City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Pavlovsk,RU,50.4578,40.1081,-9.84,90,100,5.85,overcast clouds
Bud,US,39.447,-86.1758,-2.78,46,1,1.17,clear sky
Dingle,PH,10.9995,122.6711,23.51,91,89,3.14,overcast clouds
Mackay,AU,-21.15,149.2,24.0,94,100,3.33,overcast clouds
Eydhafushi,MV,5.1033,73.0708,27.4,75,7,3.99,clear sky
Poum,NC,-20.2333,164.0167,26.59,68,0,1.88,clear sky
Hualmay,PE,-11.0964,-77.6139,23.93,66,78,4.42,broken clouds
Doha,QA,25.2867,51.5333,21.0,83,0,4.63,clear sky
Padang,ID,-0.9492,100.3543,23.0,88,40,1.03,scattered clouds
Tasiilaq,GL,65.6145,-37.6368,0.0,74,75,20.06,light rain
Kruisfontein,ZA,-34.0033,24.7314,20.56,84,0,0.89,clear sky
Monroe,US,43.1501,-77.6831,-2.78,58,75,11.32,snow
Chapais,CA,49.7834,-74.8492,-8.0,62,90,6.69,light snow
Ocampo,MX,21.65,-101.5,22.4,20,10,8.44,clear sky
Liverpool,GB,53.4106,-2.9779,4.0,87,75,8.75,heavy intensity rain
Barrow,US,71.2906,-156.7887,-18.0,71,90,3.6,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,-6.16,94,100,6.41,light snow
Adrar,MR,20.5022,-10.0711,16.6,32,100,4.04,overcast clouds
Kumbo,CM,6.2,10.6667,17.86,29,16,2.63,few clouds
Tete,MZ,-16.1564,33.5867,29.0,65,40,1.54,scattered clouds
Alofi,NU,-19.0595,-169.9187,26.0,94,100,3.09,overcast clouds
Kaifeng,CN,34.7911,114.3483,9.0,37,0,3.0,clear sky
Minusinsk,RU,53.7103,91.6875,-11.0,85,100,1.0,mist
Deputatskiy,RU,69.3,139.9,-37.11,85,3,0.88,clear sky
Qasigiannguit,GL,68.8193,-51.1922,-6.0,45,40,10.29,snow
Saskylakh,RU,71.9167,114.0833,-37.12,81,96,3.14,overcast clouds
Agirish,RU,61.9247,63.0231,-25.41,90,100,5.15,snow
Hofn,IS,64.2539,-15.2082,1.38,87,97,8.26,snow
Pangody,RU,65.85,74.4859,-31.0,86,52,5.62,broken clouds
Ardakan,IR,32.31,54.0175,11.0,50,0,2.06,clear sky
Bredasdorp,ZA,-34.5322,20.0403,20.0,77,100,2.06,overcast clouds
Nadym,RU,65.5333,72.5167,-30.95,85,81,6.28,broken clouds
Iqaluit,CA,63.7506,-68.5145,-4.0,86,90,7.2,overcast clouds
Muros,ES,42.7762,-9.0603,8.89,73,47,0.89,scattered clouds
Sitka,US,57.0531,-135.33,2.0,80,75,3.09,light snow
Mahdasht,IR,35.7299,50.8111,6.0,93,90,5.14,overcast clouds
Narsaq,GL,60.9167,-46.05,1.0,29,20,6.69,few clouds
Provideniya,RU,64.3833,-173.3,-17.92,90,88,3.39,overcast clouds
Fairlie,GB,55.756,-4.8556,3.33,86,83,4.02,broken clouds
Bartica,GY,6.4,-58.6167,29.0,70,40,6.17,scattered clouds
Bethel,US,41.3712,-73.414,7.0,31,40,6.17,scattered clouds
Kenai,US,60.5544,-151.2583,-10.0,85,90,4.63,mist
Vostok,RU,46.4856,135.8833,-25.02,90,100,1.11,overcast clouds
Sabang,ID,5.8933,95.3214,27.57,78,61,5.4,broken clouds
Sulzbach-Rosenberg,DE,49.4983,11.7517,3.33,93,90,2.57,light rain
Amursk,RU,50.2261,136.8994,-21.3,91,100,1.4,overcast clouds
Saint-Joseph,RE,-21.3667,55.6167,26.0,83,75,1.54,light rain
Pamekasan,ID,-7.1568,113.4746,25.57,85,51,5.68,broken clouds
Wajir,KE,1.7471,40.0573,29.76,40,0,3.08,clear sky
Babstovo,RU,48.1167,132.4833,-23.99,88,91,2.31,overcast clouds
Broome,US,42.2506,-75.833,-1.0,31,1,7.72,clear sky
Bundi,IN,25.4417,75.6417,12.86,39,0,2.16,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,0.0,93,90,4.12,snow
Patterson,US,37.4716,-121.1297,14.44,66,1,1.69,clear sky
Shimoda,JP,34.6667,138.95,9.43,55,0,4.44,clear sky
Castro,BR,-24.7911,-50.0119,24.49,56,0,2.02,clear sky
Mao,ES,39.8885,4.2658,12.0,87,0,0.51,clear sky
Port-Gentil,GA,-0.7193,8.7815,28.0,83,75,3.09,moderate rain
Kodiak,US,57.79,-152.4072,-3.0,74,1,1.54,clear sky
Havoysund,NO,70.9963,24.6622,-3.0,59,75,7.2,light snow
Muscat,OM,23.6139,58.5922,20.0,56,0,1.54,clear sky
Teguldet,RU,57.3064,88.1667,-0.73,98,100,4.29,overcast clouds
Torbay,CA,47.6666,-52.7314,1.11,93,90,7.72,light rain
Lingao,CN,19.9103,109.6859,18.98,92,0,3.32,clear sky
Buala,SB,-8.145,159.5921,27.17,82,96,5.13,light rain
Caxias,PT,38.7031,-9.2767,11.67,82,75,4.63,broken clouds
Kongolo,CD,-5.3833,27.0,22.59,89,100,0.51,overcast clouds
Gaoua,BF,10.2992,-3.2508,29.34,18,1,1.62,clear sky
Filingue,NE,14.3521,3.3168,25.31,18,56,2.68,broken clouds
Pangnirtung,CA,66.1451,-65.7125,-10.0,79,75,2.06,broken clouds
Codrington,AU,-38.2667,141.9667,14.14,79,99,5.81,overcast clouds
Kristiansund,NO,63.1115,7.732,-4.0,63,75,2.06,broken clouds
Kano,NG,12.0001,8.5167,22.0,40,68,1.54,haze
Kampene,CD,-3.6,26.6667,21.66,93,100,0.54,overcast clouds
Saint-Georges,GD,12.0564,-61.7485,29.0,61,20,9.26,few clouds
Fairbanks,US,64.8378,-147.7164,-21.67,77,90,0.49,light snow
Vanavara,RU,60.34,102.2797,-15.87,94,100,2.98,light snow
Sultepec,MX,18.8667,-99.95,25.0,9,1,3.09,clear sky
Tukrah,LY,32.5341,20.5791,16.81,51,100,3.73,overcast clouds
Fortuna,US,40.5982,-124.1573,11.67,93,75,5.66,broken clouds
Shaunavon,CA,49.6501,-108.4181,-24.0,70,100,3.6,overcast clouds
Kalianget,ID,-7.05,113.9333,26.16,84,8,6.03,clear sky
Cidreira,BR,-30.1811,-50.2056,24.93,64,28,3.84,scattered clouds
Bengkulu,ID,-3.8004,102.2655,24.7,76,98,2.9,light rain
Thompson,CA,55.7435,-97.8558,-33.0,56,75,7.2,snow
Kofele,ET,7.0667,38.7833,12.87,68,66,4.15,broken clouds
Saint-Pierre,RE,-21.3393,55.4781,26.0,83,75,1.54,light rain
Upernavik,GL,72.7868,-56.1549,-6.88,78,100,1.98,overcast clouds
Marawi,PH,7.9986,124.2928,22.78,93,97,2.68,overcast clouds
Coruripe,BR,-10.1256,-36.1756,28.0,67,65,8.2,broken clouds
Dighwara,IN,25.7333,85.0,12.0,87,0,2.36,mist
Tiverton,GB,50.9,-3.4833,5.0,90,88,2.24,overcast clouds
Yerbogachen,RU,61.2767,108.0108,-24.53,90,93,1.99,overcast clouds
Wenling,CN,28.3669,121.36,13.33,91,44,0.33,scattered clouds
Kuito,AO,-12.3833,16.9333,16.72,96,100,3.88,moderate rain
Ancud,CL,-41.8697,-73.8203,25.0,50,0,4.63,clear sky
Hithadhoo,MV,-0.6,73.0833,27.46,77,78,6.39,broken clouds
Ust-Kuyga,RU,70.0167,135.6,-33.63,83,100,1.53,overcast clouds
Mahebourg,MU,-20.4081,57.7,26.0,83,20,1.54,few clouds
Carballo,ES,43.213,-8.691,7.22,80,82,0.45,broken clouds
Rath,IN,25.5833,79.5667,11.25,60,0,1.67,clear sky
Ambilobe,MG,-13.2,49.05,23.58,92,97,0.68,light rain
Antofagasta,CL,-23.65,-70.4,23.33,60,20,5.66,few clouds
Burnie,AU,-41.0667,145.9167,15.56,78,18,5.81,few clouds
Dali,CN,25.7,100.1833,7.39,62,19,1.89,few clouds
Inhambane,MZ,-23.865,35.3833,27.0,78,20,2.06,few clouds
Svetlyy,RU,54.675,20.1347,-17.0,85,9,2.04,mist
Nantucket,US,41.2835,-70.0995,6.11,56,1,10.29,clear sky
Cabra,ES,37.4725,-4.4421,10.0,82,47,1.79,scattered clouds
Abalak,RU,58.1286,68.5944,0.72,94,100,6.04,overcast clouds
Inuvik,CA,68.3499,-133.7218,-31.0,76,100,1.54,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,0.49,96,100,11.84,snow
Ostrovnoy,RU,68.0531,39.5131,-11.92,93,100,4.75,light snow
Senneterre,CA,48.3835,-77.2328,-9.0,67,75,5.66,light snow
Mayumba,GA,-3.432,10.6554,26.84,80,100,1.08,overcast clouds
Egvekinot,RU,66.3167,-179.1667,-22.28,77,5,3.58,clear sky
Baykit,RU,61.67,96.37,-12.77,92,100,2.42,light snow
Grafton,US,42.207,-71.6856,4.44,43,67,3.13,broken clouds
Sabzevar,IR,36.2126,57.6819,10.8,57,100,2.93,overcast clouds
Suoyarvi,RU,62.0833,32.35,-11.5,95,100,3.37,snow
Cherskiy,RU,68.75,161.3,-22.35,81,0,2.57,clear sky
Grindavik,IS,63.8424,-22.4338,1.0,64,40,7.2,scattered clouds
Divnomorskoye,RU,44.5011,38.1353,8.7,91,100,5.45,light rain
Russell,US,32.3502,-85.1999,8.0,81,90,2.06,overcast clouds
Lyuban,BY,52.7985,28.0048,-17.47,93,0,2.79,clear sky
Tuatapere,NZ,-46.1333,167.6833,14.77,72,1,1.61,clear sky
Ismailia,EG,30.6043,32.2723,16.25,68,0,2.79,clear sky
Juneau,US,58.3019,-134.4197,-6.0,68,75,2.06,broken clouds
Acapulco,MX,16.8634,-99.8901,29.0,65,20,4.63,few clouds
Greenwood,US,34.1668,-82.1165,10.56,37,75,2.57,broken clouds
Samarai,PG,-10.6167,150.6667,27.86,77,100,2.32,overcast clouds
Gonen,TR,40.1049,27.654,9.0,93,0,2.99,clear sky
Muli,MV,2.9167,73.5667,27.48,76,22,6.12,few clouds
Muhos,FI,64.808,25.9931,-11.0,85,0,4.12,clear sky
Goderich,CA,43.7501,-81.7165,-7.0,63,100,9.26,overcast clouds
Shitanjing,CN,39.2342,106.3439,-2.98,79,0,1.33,clear sky
Leningradskiy,RU,69.3833,178.4167,-25.16,77,0,3.18,clear sky
Lompoc,US,34.6391,-120.4579,20.0,42,1,1.51,clear sky
Saint-Louis,SN,16.3333,-15.0,25.0,44,0,1.03,clear sky
Chengde,CN,40.9725,117.9361,-5.18,92,37,0.96,scattered clouds
Ugoofaaru,MV,5.6667,73.0,27.56,73,0,3.74,clear sky
Sojat,IN,25.9167,73.6667,14.22,34,0,2.97,clear sky
Nuristan,AF,35.3,70.8333,-6.6,83,18,5.47,few clouds
Ormara,PK,25.2088,64.6357,19.77,48,0,3.39,clear sky
Vavuniya,LK,8.7514,80.4971,21.66,98,22,1.56,few clouds
Berlevag,NO,70.8578,29.0864,-2.88,93,100,11.12,light snow
Lincoln,US,40.8,-96.667,-11.11,67,90,6.17,light snow
Mazagao,BR,-0.115,-51.2894,33.0,70,40,4.12,scattered clouds
Shenjiamen,CN,29.9576,122.298,10.17,75,9,2.17,clear sky
Salalah,OM,17.0151,54.0924,24.0,69,40,3.6,scattered clouds
Southbridge,US,42.0751,-72.0334,4.44,45,29,1.34,scattered clouds
Hilo,US,19.7297,-155.09,22.78,53,1,1.54,clear sky
Ilulissat,GL,69.2167,-51.1,-6.0,45,40,10.29,snow
Vao,NC,-22.6667,167.4833,25.03,88,0,3.28,clear sky
Lere,NG,10.387,8.5726,22.6,22,100,3.42,overcast clouds
Antalaha,MG,-14.9003,50.2788,24.44,84,100,1.25,overcast clouds
Maxixe,MZ,-23.8597,35.3472,27.0,78,20,2.06,few clouds
Mindelo,CV,16.8901,-24.9804,21.0,56,75,12.35,broken clouds
Holeby,DK,54.7115,11.4642,-1.11,81,100,5.81,overcast clouds
Pisco,PE,-13.7,-76.2167,23.0,83,75,4.63,broken clouds
Dukat,RU,62.55,155.55,-23.18,89,100,1.2,overcast clouds
Talgar,KZ,43.3027,77.2395,1.0,86,75,3.0,mist
Beloha,MG,-25.1667,45.05,24.68,88,0,2.34,clear sky
Lorengau,PG,-2.0226,147.2712,27.67,76,96,1.76,overcast clouds
Aripuana,BR,-9.1667,-60.6333,25.01,97,100,0.36,overcast clouds
Voi,KE,-3.3945,38.563,24.11,76,40,1.22,light rain
Karaton,ID,-6.3424,106.1045,26.67,89,75,3.6,heavy intensity rain
Dunedin,NZ,-45.8742,170.5036,14.44,83,0,1.34,clear sky
Waingapu,ID,-9.6567,120.2641,25.37,80,94,2.36,light rain
Strezhevoy,RU,60.7333,77.5889,0.0,100,90,5.0,overcast clouds
Olot,ES,42.181,2.4901,10.0,55,28,2.16,scattered clouds
Sur,OM,22.5667,59.5289,17.25,62,0,2.62,clear sky
Fagernes,NO,60.9858,9.2324,-17.22,85,0,1.58,clear sky
Portland,US,45.5234,-122.6762,8.0,71,90,3.09,overcast clouds
Nagapattinam,IN,10.7667,79.8333,22.99,83,0,4.71,clear sky
Paita,PE,-5.0892,-81.1144,32.0,48,0,5.66,clear sky
Hammerfest,NO,70.6634,23.6821,-3.0,59,75,7.2,light snow
Mmathubudukwane,BW,-24.6,26.4333,20.0,100,90,2.57,light rain
Ler,SS,8.3018,30.1418,22.65,20,100,2.46,overcast clouds
Odienne,CI,9.51,-7.5692,30.89,25,100,1.36,overcast clouds
Yumen,CN,40.2833,97.2,-2.62,72,95,0.5,overcast clouds
Maturin,VE,9.75,-63.1767,29.84,52,100,4.7,overcast clouds
Borovoy,RU,55.4333,86.0833,-3.0,93,40,4.0,scattered clouds
Hasaki,JP,35.7333,140.8333,2.0,93,20,0.51,fog
Rebrikha,RU,53.0733,82.3408,-3.47,97,13,5.3,few clouds
Marienburg,PL,54.0359,19.0266,-9.44,100,7,2.1,clear sky
Souillac,MU,-20.5167,57.5167,26.0,83,20,1.54,few clouds
Zunyi,CN,27.6867,106.9072,10.09,87,96,1.27,overcast clouds
Gat,IL,31.61,34.7642,15.56,100,1,0.57,clear sky
Talaya,RU,61.3833,152.75,-25.23,85,100,0.76,overcast clouds
Itape,PY,-25.85,-56.6167,26.05,60,0,2.96,clear sky
Uribia,CO,11.7139,-72.266,32.36,38,93,10.14,overcast clouds
At-Bashi,KG,41.1702,75.8106,-5.06,79,100,0.73,overcast clouds
Manzhouli,CN,49.6,117.4333,-24.2,86,0,3.41,clear sky
Hermiston,US,45.8404,-119.2895,12.0,40,75,13.89,broken clouds
Ketchikan,US,55.3422,-131.6461,2.0,100,90,2.13,light rain
Kavieng,PG,-2.5744,150.7967,27.54,71,67,1.05,broken clouds
Pochutla,MX,15.7432,-96.4661,28.0,65,75,7.72,broken clouds
Elko,US,41.0002,-115.5012,7.0,39,1,7.72,clear sky
Bilma,NE,18.6853,12.9164,18.7,24,65,2.68,broken clouds
Ixtapa,MX,20.7,-105.2,27.0,57,20,2.06,few clouds
Shizuishan,CN,39.2333,106.7694,-3.02,82,0,0.6,clear sky
Buta,CD,2.7858,24.73,22.11,43,0,0.31,clear sky
College,US,64.8569,-147.8028,-22.22,77,90,1.54,mist
Muravlenko,RU,63.7898,74.523,-16.24,94,100,6.36,light snow
Alugan,PH,12.2188,125.4808,26.32,86,89,6.93,overcast clouds
Maningrida,AU,-12.0667,134.2667,25.09,86,100,4.85,light rain
Kingaroy,AU,-26.5333,151.8333,19.0,94,29,0.57,scattered clouds
Caucaia,BR,-3.7361,-38.6531,30.0,62,20,5.66,few clouds
Thomaston,US,32.8882,-84.3266,7.22,81,90,3.28,overcast clouds
Isangel,VU,-19.55,169.2667,24.0,94,20,0.67,few clouds
Basoko,CD,1.2391,23.616,25.04,58,22,0.75,few clouds
Ishigaki,JP,24.3448,124.1572,21.28,65,0,3.67,clear sky
Uige,AO,-7.6087,15.0613,20.7,91,99,0.38,overcast clouds
Meulaboh,ID,4.1363,96.1285,24.72,90,84,1.91,broken clouds
Sehithwa,BW,-20.4667,22.7167,22.01,87,100,1.75,overcast clouds
Surt,LY,31.2089,16.5887,20.47,34,22,5.87,few clouds
Theodoriana,GR,39.4356,21.21,7.78,70,0,0.61,clear sky
Kodinsk,RU,58.6881,99.1844,-11.18,95,100,2.4,light snow
Yulara,AU,-25.2406,130.9889,24.0,31,0,4.63,clear sky
Tigil,RU,57.8,158.6667,-5.84,90,100,10.39,overcast clouds
Varniai,LT,55.7406,22.3644,-14.0,85,40,3.09,scattered clouds
Coahuayana,MX,18.7333,-103.6833,25.0,57,1,3.18,clear sky
Mawlaik,MM,23.6333,94.4167,15.42,51,0,0.46,clear sky
Karratha,AU,-20.7377,116.8463,25.49,71,26,4.6,scattered clouds
Gerash,IR,27.6652,54.1371,14.0,47,0,0.85,clear sky
Peniche,PT,39.3558,-9.3811,12.22,76,43,6.71,scattered clouds
Eyl,SO,7.9803,49.8164,24.44,80,4,5.87,clear sky
Ardesen,TR,41.1911,40.9875,12.0,66,75,8.23,broken clouds
Kingman,US,35.1894,-114.053,14.0,23,1,4.12,clear sky
Mpanda,TZ,-6.3655,31.0409,20.12,90,100,1.16,light rain
Komsomolskiy,UZ,40.4272,71.7189,6.0,49,100,2.06,overcast clouds
Bonthe,SL,7.5264,-12.505,26.98,72,98,4.27,overcast clouds
Jiaojiang,CN,28.6803,121.4428,13.33,91,66,0.44,broken clouds
Valparaiso,CL,-33.0393,-71.6273,17.78,88,90,1.54,overcast clouds
Marzuq,YE,14.4,46.4667,15.37,72,0,2.16,clear sky
Ballina,AU,-28.8667,153.5667,22.0,88,90,1.03,overcast clouds
Dicabisagan,PH,17.0818,122.4157,23.69,88,59,1.83,broken clouds
Seabra,BR,-12.4186,-41.7703,25.89,58,87,1.7,overcast clouds
Nuuk,GL,64.1835,-51.7216,-3.0,43,1,3.09,clear sky
Hami,CN,42.8,93.45,-0.55,78,0,2.53,clear sky
Bathsheba,BB,13.2167,-59.5167,29.0,54,20,8.23,few clouds
Severodvinsk,RU,64.5635,39.8302,-14.0,72,40,5.0,scattered clouds
Hella,NO,67.2,14.4333,-3.33,86,75,3.6,broken clouds
Faanui,PF,-16.4833,-151.75,27.52,70,0,5.04,clear sky
Rincon,US,32.296,-81.2354,10.0,87,90,4.12,overcast clouds
Hobyo,SO,5.3505,48.5268,25.26,77,0,6.68,clear sky
Merauke,ID,-8.4667,140.3333,26.43,84,100,6.15,overcast clouds
Serrana,BR,-21.2114,-47.5956,30.0,42,40,5.14,scattered clouds
Maloyaroslavets,RU,55.0146,36.4719,-17.0,78,89,5.0,overcast clouds
Plaridel,PH,14.8872,120.8572,25.0,88,20,1.03,few clouds
Sorland,NO,67.667,12.6934,1.59,82,72,11.19,broken clouds
Sovetsk,RU,55.0839,21.8785,-13.19,93,0,1.59,clear sky
Luganville,VU,-15.5333,167.1667,25.91,80,1,1.63,clear sky
Sembe,CG,1.6481,14.5806,25.11,70,54,1.07,broken clouds
Tigre,AR,-34.426,-58.5796,32.22,33,0,2.57,clear sky
Mersing,MY,2.4312,103.8405,26.0,83,77,4.12,broken clouds
Assiniboia,CA,49.6334,-105.9845,-28.0,52,91,1.54,overcast clouds
Darab,IR,28.7519,54.5444,12.62,37,0,2.05,clear sky
Monrovia,LR,6.3005,-10.7969,25.0,94,40,1.54,scattered clouds
Gao,ML,16.6362,1.637,24.52,17,45,3.5,scattered clouds
Varkaus,FI,62.3153,27.873,-12.22,85,20,4.12,light snow
Margate,GB,51.3813,1.3862,6.11,90,100,0.89,light rain
Beringovskiy,RU,63.05,179.3167,-23.19,89,3,3.86,clear sky
Ukiah,US,39.1502,-123.2078,17.22,54,1,1.54,clear sky
Barranca,PE,-10.75,-77.7667,23.82,66,14,4.39,few clouds
Balti,MD,47.7617,27.9289,-2.78,93,90,3.09,snow
Arroyo,ES,41.6096,-4.7969,7.22,87,90,2.57,overcast clouds
Ampanihy,MG,-24.7,44.75,24.77,84,0,2.61,clear sky
Aswan,EG,24.0934,32.907,17.2,33,0,3.96,clear sky
Faya,SA,18.3851,42.4509,11.0,87,0,2.04,clear sky
Arman,RU,59.7,150.1667,-15.49,87,100,4.71,overcast clouds
Kragero,NO,58.8693,9.4149,-7.78,77,0,2.68,clear sky
Koumac,NC,-20.5667,164.2833,25.29,74,1,0.73,clear sky
Chala,TZ,-7.5833,31.2667,18.0,94,20,0.99,light rain
